Mods count: 129
 
                                     jar name                                       |    notes     |           mod id           |            mod name            |         mod version          |                                                                                                                                       mixin configs                                                                                                                                        |              modrinth hash               | curseforge hash
    /META-INF/jarjar/Registrate-MC1.20-1.3.11.jar                                   |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/checker-qual-3.33.0.jar                                        |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/error_prone_annotations-2.18.0.jar                             |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/failureaccess-1.0.1.jar                                        |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/guava-32.1.2-jre.jar                                           |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/jsr305-3.0.2.jar                                               |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar |              |                            |                                |                              |                                                                                                                                                                                                                                                                                            |                                          |                
Enhanced-Celestials-forge-1.20.1-5.0.3.2.jar                                        |              | enhancedcelestials         | Enhanced Celestials            | 1.20.1-5.0.3.2               | enhancedcelestials.forge.mixins.json, enhancedcelestials.mixins.json, enhancedcelestials_asm.mixins.json                                                                                                                                                                                   | 53cd78df951489f24f0f943f6b169d4d45d96578 | 4166192131     
enhancedai-3.3.7.3.jar                                                              |              | enhancedai                 | Enhanced AI                    | 3.3.7.3                      | mixins.enhancedai.refmap.json, mixins.enhancedai.json                                                                                                                                                                                                                                      | 3e51630f66b305201d2e2f64fd9f640e41f9a5a9 | 3283062774     
environmental-1.20.1-4.1.2.jar                                                      |              | environmental              | Environmental                  | 4.1.2                        | environmental.mixins.json                                                                                                                                                                                                                                                                  | 2c110c43d77841924bb2cf08ae7656a104f951f9 | 3954662022     
fastboot-1.20.x-1.2.jar                                                             |              | fastboot                   | FastBoot                       | 1.2                          | fastboot.mixins.json                                                                                                                                                                                                                                                                       | 0820d6611bdf664cc84bf351089e75998a9f1962 | 3152139061     
Fastload-Reforged-mc1.20.1-3.4.0.jar                                                |              | fastload                   | Fastload-Reforged              | 3.4.0                        | fastload.mixins.json                                                                                                                                                                                                                                                                       | 27d58f123951e0404c94caf16ff9b96b442f371c | 1563375780     
flib-1.20.1-0.0.14.jar                                                              |              | flib                       | flib                           | 0.0.14                       |                                                                                                                                                                                                                                                                                            | 1080d98fe7c11b50f43d1858fb64ef7ca0c9cb74 | 3596027783     
footwork-4.3.9.jar                                                                  |              | footwork                   | Footwork                       | 4.3.9                        | footwork.mixins.json                                                                                                                                                                                                                                                                       | 4167c64a83a01b571d0ca1963dc32755f88a4d0d | 4238079168     
forestry-1.20.1-2.10.2.jar                                                          |              | forestry                   | Forestry                       | 2.10.2                       |                                                                                                                                                                                                                                                                                            | 4ad1a99fa93cd7d4189edbfe9f2be7a2b1af6f8f | 2174969514     
